id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
20	animation	0.072	-0.8763	1	15	31	7	2020	6.7143	2.4389
92	computer games	-0.8034	0.4985	2	16	74	15	2021.0667	5.8667	1.1368
126	curricula	-0.787	-0.1302	2	17	75	12	2020.9167	7.1667	1.9542
159	e-learning	1.0898	0.1919	3	11	34	9	2020.7778	2.5556	0.2491
163	education	0.655	-0.1396	3	15	35	7	2016	17.8571	1.0388
164	education computing	-0.0951	0.1749	2	18	118	20	2021.2	6.4	1.45
194	engineering education	0.3526	0.3834	2	17	96	18	2021.8889	7	0.9834
197	engines	-0.7817	-0.5695	1	14	41	7	2021.7143	3	1.4416
212	game design	-0.4526	0.6479	2	16	73	17	2023.6471	0.6471	1.1029
213	game development	-0.2844	-0.168	1	18	171	40	2020.975	5.55	1.1186
217	game engine	-0.3293	-0.746	1	16	72	14	2019.4286	11.3571	1.205
295	interactive computer graphics	-0.1145	1.0109	2	13	44	11	2022.8182	3.4545	1.5982
338	learning systems	0.6786	-0.5711	1	15	55	12	2021.0833	4.0833	0.7077
486	software design	0.2314	-0.0348	1	18	190	47	2020.2766	6.6809	0.9862
511	students	0.0725	0.5745	2	18	142	30	2021.1333	5.0333	1.1396
527	teaching	-0.5506	0.212	2	16	81	15	2020.1333	8.7333	1.5421
545	three dimensional computer graphics	0.3074	-0.4723	1	17	56	12	2020.3333	5.0833	0.7126
562	unity	-0.0908	-0.4338	1	17	49	10	2022.1	10.4	1.506
595	virtual reality	0.8302	0.4476	3	15	57	16	2021.3125	4.125	0.5832
