id	label	description	url	x	y	cluster	weight<Links>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
32	crespo-martínez (2023)	"<table><tr><td>Authors:</td><td>crespo-martínez, esteban; bueno, salvador; gallego, dolores dolores</td></tr><tr><td>Title:</td><td>a video game for entrepreneurship learning in ecuador: development study</td></tr><tr><td>Source:</td><td>jmir formative research, 7</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/10.2196/49263	0.3717	-0.2201	1	0	7	2.9697	2023	7	2.9697
33	moiseienko (2023)	"<table><tr><td>Authors:</td><td>moiseienko, natalia v.; moiseienko, mykhailo v.; kuznietsov, vladyslav s.; rostalny, bohdan a.; kiv, arnold e.</td></tr><tr><td>Title:</td><td>teaching computer game development with unity engine: a case study</td></tr><tr><td>Source:</td><td>ceur workshop proceedings, 3482, 237-251</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"		-0.0001	0	2	0	9	3.8182	2023	9	3.8182
40	singh (2022)	"<table><tr><td>Authors:</td><td>singh, swati; kaur, amanpreet</td></tr><tr><td>Title:</td><td>game development using unity game engine</td></tr><tr><td>Source:</td><td>[no source]</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.1109/ican56228.2022.10007155	-0.172	0.398	3	0	24	3.3333	2022	24	3.3333
41	li (2022)	"<table><tr><td>Authors:</td><td>li, yuxuan; zhu, yingying</td></tr><tr><td>Title:</td><td>research on key technologies of garbage classification virtual simulation game development based on unity3d technology</td></tr><tr><td>Source:</td><td>procedia computer science, 208, 546-552</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.1016/j.procs.2022.10.075	-0.4199	-0.76	4	0	11	1.5278	2022	11	1.5278
44	lindner (2021)	"<table><tr><td>Authors:</td><td>lindner, claudia; ortwein, annette; staar, kilian; rienow, andreas</td></tr><tr><td>Title:</td><td>different levels of complexity for integrating textured extra-terrestrial elevation data in game engines for educational augmented and virtual reality applications; unterschiedliche komplexitätsebenen bei der integration texturierter extra-terrestrischer geländedaten in spiele-engines für augmented und virtual reality anwendungen im bildungsbereich</td></tr><tr><td>Source:</td><td>kn - journal of cartography and geographic information, 71(4), 253-267</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1007/s42489-021-00090-3	-0.0028	-0.8759	5	0	8	2.0513	2021	8	2.0513
48	metikaridis (2021)	"<table><tr><td>Authors:</td><td>metikaridis, damianos t.; xinogalos, stelios</td></tr><tr><td>Title:</td><td>a comparative analysis of tools for developing location based games</td></tr><tr><td>Source:</td><td>entertainment computing, 37</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1016/j.entcom.2020.100403	0.5894	0.6602	6	0	11	2.8205	2021	11	2.8205
63	perez-colado (2019)	"<table><tr><td>Authors:</td><td>perez-colado, víctor manuel; perez-colado, iván josé; freire, manuel; iván, martínez ortiz; baltasar, fernández manjón</td></tr><tr><td>Title:</td><td>simplifying the creation of adventure serious games with educational-oriented features</td></tr><tr><td>Source:</td><td>educational technology and society, 22(3), 32-46</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"		0.2042	0.7874	7	0	25	3.3951	2019	25	3.3951
64	comber (2019)	"<table><tr><td>Authors:</td><td>comber, oswald; motschnig-pitrik, renate; mayer, hubert; haselberger, david</td></tr><tr><td>Title:</td><td>engaging students in computer science education through game development with unity</td></tr><tr><td>Source:</td><td>ieee global engineering education conference, educon, april-2019, 199-205</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1109/educon.2019.8725135	-0.0994	-0.4224	8	0	33	4.4815	2019	33	4.4815
68	omaran (2019)	"<table><tr><td>Authors:</td><td>omaran, sagid m.; alghamdi, abdulaziz a.; alharishawi, salam salman chiad; hains, decker b.</td></tr><tr><td>Title:</td><td>integrating bim and game engine for simulation interactive life cycle analysis visualization</td></tr><tr><td>Source:</td><td>[no source], 120-128</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1061/9780784482421.016	-0.7742	0.3098	9	0	11	1.4938	2019	11	1.4938
72	bryan (2018)	"<table><tr><td>Authors:</td><td>bryan, samuel j.; campbell, abraham g.; mangina, eleni e.</td></tr><tr><td>Title:</td><td>scenic spheres-an ar/vr educational game</td></tr><tr><td>Source:</td><td>[no source], 367-374</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1109/gem.2018.8516456	-0.8828	-0.0972	10	0	17	1.8545	2018	17	1.8545
75	nelson (2018)	"<table><tr><td>Authors:</td><td>nelson, matthew erik; ahn, benjamin</td></tr><tr><td>Title:</td><td>virtual reality activities for teaching engineering students professional development skills</td></tr><tr><td>Source:</td><td>proceedings - frontiers in education conference, fie, 2018-october</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1109/fie.2018.8659258	0.8372	-0.1081	11	0	11	1.2	2018	11	1.2
76	chen (2018)	"<table><tr><td>Authors:</td><td>chen, guo; ma, fenfen; jiang, yan; liu, ruipu</td></tr><tr><td>Title:</td><td>virtual reality interactive teaching for chinese traditional tibetan clothing</td></tr><tr><td>Source:</td><td>art, design and communication in higher education, 17(1), 51-59</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1386/adch.17.1.51_1	-0.43	-0.0362	12	0	23	2.5091	2018	23	2.5091
77	dickson (2017)	"<table><tr><td>Authors:</td><td>dickson, paul e.; block, jeremy e.; echevarria, gina n.; keenan, kristina c.</td></tr><tr><td>Title:</td><td>an experience-based comparison of unity and unreal for a stand-alone 3d game development course</td></tr><tr><td>Source:</td><td>annual conference on innovation and technology in computer science education, iticse, part f128680, 70-75</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1145/3059009.3059013	0.3686	-0.7298	13	0	38	2.375	2017	38	2.375
79	che dalim (2017)	"<table><tr><td>Authors:</td><td>che dalim, che samihah; piumsomboon, thammathip; dey, arindam; billinghurst, mark; sunar, mohd shahrizal</td></tr><tr><td>Title:</td><td>teachar: an interactive augmented reality tool for teaching basic english to non-native children</td></tr><tr><td>Source:</td><td>[no source], 344-345</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1109/ismar-adjunct.2016.0113	-0.684	-0.4631	14	0	21	1.3125	2017	21	1.3125
