id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
28	augmented reality	0.0898	-0.8264	4	10	12	3	2021	8.3333	0.8433
45	case-studies	0.3575	0.7155	3	16	27	4	2024	3	2.4348
60	computer aided instruction	0.7089	-0.5339	2	17	30	4	2022.5	0.75	0.295
65	computer games	0.4617	0.0776	2	27	75	9	2021	8.3333	1.1093
66	computer graphics	1.1797	-0.0783	2	14	28	3	2020.6667	1.3333	0.7619
68	computer programming	0.6637	0.2517	2	22	49	5	2020.2	7.8	1.205
73	computer-aided learning	0.9915	-0.133	2	14	28	3	2020.6667	1.3333	0.7619
86	curricula	0.4018	0.498	3	26	81	10	2021.2	8.1	1.5971
101	e-learning	-0.4933	-1.032	4	7	12	4	2020.5	3	0.2777
105	education	-0.4132	-0.2149	1	19	39	6	2016.1667	19.1667	1.0154
106	education computing	0.3956	-0.1523	2	28	93	11	2020.4545	10.7273	1.397
111	educational game	-0.7398	-0.2128	1	15	24	4	2017.25	8.25	0.5
118	educational technology	1.0944	-0.301	2	14	28	3	2020.6667	1.3333	0.7619
121	engineering education	0.1172	-0.0793	1	29	68	8	2020.25	13.875	1.4354
123	engineering research	0.2258	0.2277	1	21	37	4	2019	17	1.7723
124	engines	1.0424	0.2144	2	15	31	3	2021	4.3333	1.6749
137	game design	-0.055	0.7132	3	15	35	6	2023.5	0.5	1.1667
138	game development	-0.1179	-0.0487	3	32	127	21	2020	7.1905	1.0111
142	game engine	-0.7493	0.2324	1	21	47	6	2015.3333	20.6667	1.2147
144	game environment	-0.6447	-0.8952	4	7	12	3	2020.6667	5.3333	1.0248
173	human computer interaction	-0.4681	0.1897	1	21	33	4	2017.5	21	1.7615
189	interactive computer graphics	0.2829	-0.4008	4	20	38	6	2022.5	6	1.1091
212	learning systems	-0.5568	-0.5468	1	15	24	4	2017.25	8.75	0.6522
233	motivation	-0.5976	0.0098	1	16	19	3	2018.6667	14.3333	2.0154
287	serious games	-0.6384	0.8957	3	8	13	4	2018.75	8.5	1.2112
292	software design	-0.1035	-0.3449	4	32	150	26	2019.3462	9.2308	0.9895
312	students	-0.2615	0.1398	3	28	102	17	2020.5294	7.8824	1.1952
318	teaching	0.0526	0.4422	3	29	101	15	2020.1333	8.7333	1.144
329	three dimensional computer graphics	-0.3536	0.9919	3	10	15	3	2018	9	0.4259
338	unity	-0.1956	0.4705	1	16	23	4	2019.75	18.25	1.8784
342	unity game engine	-0.858	-0.0115	1	17	27	3	2013.3333	19.6667	1
351	video game	-0.5557	0.5641	1	15	17	3	2019	12.3333	1.1666
359	virtual reality	-0.2637	-0.8223	4	16	35	11	2021.1818	5.5455	0.7988
