id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
30	animation	-0.0763	-0.8397	1	16	32	7	2020	6.7143	2.4389
60	augmented reality	0.8912	-0.3061	1	14	28	9	2022.2222	4.6667	0.9109
124	computer games	-0.7284	0.6836	2	16	74	15	2021.0667	5.8667	1.1368
160	curricula	-0.8623	-0.0782	2	17	75	12	2020.9167	7.1667	1.9542
199	e-learning	0.8933	0.5494	1	11	34	10	2020.6	2.4	0.2378
205	education	0.5593	-0.1199	1	17	47	12	2018.5833	11.5	1.0382
206	education computing	-0.2419	0.0929	2	19	120	20	2021.2	6.4	1.45
241	engineering education	0.3229	0.4425	2	18	98	18	2021.8889	7	0.9834
244	engines	-0.8797	-0.4748	2	14	41	7	2021.7143	3	1.4416
266	game design	-0.388	0.515	2	18	75	17	2023.6471	0.6471	1.1029
267	game development	-0.2827	-0.2659	1	19	178	42	2020.9762	5.3095	1.0686
274	game engine	-0.4425	-0.6783	1	16	73	14	2019.4286	11.3571	1.205
369	interactive computer graphics	-0.0156	0.9551	2	14	45	11	2022.8182	3.4545	1.5982
420	learning systems	0.586	-0.5773	1	16	58	12	2021.0833	4.0833	0.7077
606	software design	0.1572	0.0705	1	19	194	47	2020.2766	6.6809	0.9862
632	students	-0.0141	0.5282	2	19	143	30	2021.1333	5.0333	1.1396
650	teaching	-0.6926	0.2336	2	17	82	15	2020.1333	8.7333	1.5421
670	three dimensional computer graphics	0.0999	-0.2937	1	18	57	12	2020.3333	5.0833	0.7126
693	unity	0.1971	-0.6151	1	18	52	13	2022	8.9231	1.3859
731	virtual reality	0.9172	0.1784	1	16	64	20	2021.35	4.85	0.6945
